Index,SC_IP,Link Name,Channel,TXPower,Radio Mode,Link Mode, DLSINADR1,ULSINADR1,DLSINADR2,ULSINADR2,DLRSSI1,ULRSSI1,DLRSSI2,ULRSSI2,DLUBR,ULUBR,DLPER
Atenuation value: 0
1,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 24, 26, 24, 25, -73, -81, -74, -81, 6.7 Mbs, 6.7 Mb/s,73.1300698854
2,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
3,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 28, 27, 27, -63, -75, -64, -77,, 30 Mb/sMIMO-B,49.9803858643
4,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 28, 28, -64, -76, -64, -76, 15 Mbs, 15 Mb/s,63.4357849555
6,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 24, 26, 24, 25, -74, -81, -74, -81, 15 Mbs, 15 Mb/s,73.0556784277
7,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
8,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 28, 28, 27, -62, -75, -63, -77,, 30 Mb/sMIMO-B,50.3729314604
9,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 27, 28, -64, -76, -64, -76, 15 Mbs, 15 Mb/s,63.81645857
11,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 24, 25, 24, 26, -75, -80, -75, -80, 15 Mbs, 15 Mb/s,527.695032606
12,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
13,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 28, 28, 27, -63, -75, -63, -77,, 30 Mb/sMIMO-B,50.7641036823
14,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 28, 28, -64, -77, -64, -76, 13.3 Mbs, 15 Mb/s,64.1934808404
Atenuation value: 0
16,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 24, 26, 24, 25, -74, -80, -75, -80, 15 Mbs, 15 Mb/s,1004.38247012
17,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
18,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 27, 28, 28, 27, -62, -74, -63, -78,, 30 Mb/sMIMO-B,50.6966083715
19,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 28, 28, -65, -77, -65, -77, 1.7 Mbs, 1.7 Mb/s,65.447478354
21,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 24, 26, 24, 25, -74, -80, -75, -80, 13.3 Mbs, 13.3 Mb/s,75.4293305925
22,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
23,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 29, 29, 29, 29, -62, -74, -64, -77, 3.3 Mbs, 3.3 Mb/s,50.6407260756
24,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 28, 28, -65, -76, -64, -77, 13.3 Mbs, 15 Mb/s,65.8185383203
26,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 25, 25, 24, 26, -74, -81, -74, -81, 3.3 Mbs, 3.3 Mb/s,76.3991873641
27,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
28,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 28, 28, 27, -63, -76, -64, -76,, 30 Mb/sMIMO-B,50.5822800648
29,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 27, 28, 28, 28, -64, -76, -63, -76, 15 Mbs, 15 Mb/s,66.1921446643
Atenuation value: 10
31,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 27, 28, -64, -77, -64, -76, 13.3 Mbs, 15 Mb/s,76.8263175068
32,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
33,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 27, 28, 28, 27, -63, -74, -64, -78,, 26.7 Mb/sMIMO-B,50.5132178251
34,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 25, 28, 25, 28, -73, -78, -73, -78, 3.3 Mbs, 3.3 Mb/s,67.4337944957
36,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 28, 28, -65, -76, -65, -75, 15 Mbs, 15 Mb/s,77.7888497996
37,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
38,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 27, 28, 27, -62, -75, -63, -77,, 26.7 Mb/sMIMO-B,50.4574193872
39,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 24, 27, 24, 27, -74, -76, -73, -76, 15 Mbs, 15 Mb/s,67.8066517616
41,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 28, 28, -64, -77, -64, -77, 3.3 Mbs, 3.3 Mb/s,78.7514520693
42,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
43,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 28, 28, 27, -62, -74, -63, -77,, 30 Mb/sMIMO-B,50.4031416124
44,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 25, 27, 24, 28, -74, -77, -74, -77, 15 Mbs, 15 Mb/s,68.1774447163
Atenuation value: 10
46,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 27, 28, -65, -75, -65, -75, 6.7 Mbs, 6.7 Mb/s,80.2195114712
47,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
48,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 29, 29, 29, 27, -62, -74, -63, -78,, 10 Mb/sMIMO-B,50.33324144
49,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 25, 27, 25, 28, -73, -77, -73, -77, 1.7 Mbs, 1.7 Mb/s,69.4060297217
51,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 28, 28, -65, -75, -65, -75, 15 Mbs, 15 Mb/s,80.6550213259
52,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
53,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 28, 28, 27, -62, -75, -64, -78,, 30 Mb/sMIMO-B,50.2800728717
54,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 25, 27, 24, 27, -75, -75, -73, -77, 15 Mbs, 15 Mb/s,69.7778808816
56,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 27, 28, 28, -65, -75, -65, -76, 15 Mbs, 15 Mb/s,80.5730092581
57,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
58,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 28, 28, 27, -62, -76, -63, -78,, 30 Mb/sMIMO-B,50.2287319061
59,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 25, 27, 25, 27, -74, -77, -74, -77, 15 Mbs, 15 Mb/s,69.7086174134
